FECHA (YYMMDD);HORA (HHMM);;
180101;0100;89;
180101;0200;91;
180101;0300;93;
180101;0400;94;
180101;0500;96;
180101;0600;96;
180101;0700;88;
180101;0800;71;
180101;0900;62;
180101;1000;55;
180101;1100;50;
180101;1200;46;
180101;1300;47;
180101;1400;52;
180101;1500;53;
180101;1600;55;
180101;1700;57;
180101;1800;62;
180101;1900;65;
180101;2000;70;
180101;2100;72;
180101;2200;74;
180101;2300;76;
180102;0000;79;
180102;0100;82;
180102;0200;81;
180102;0300;81;
180102;0400;83;
180102;0500;82;
180102;0600;83;
180102;0700;84;
180102;0800;85;
180102;0900;86;
180102;1000;85;
180102;1100;76;
180102;1200;69;
180102;1300;65;
180102;1400;64;
180102;1500;65;
180102;1600;63;
180102;1700;65;
180102;1800;85;
180102;1900;88;
180102;2000;87;
180102;2100;81;
180102;2200;82;
180102;2300;82;
180103;0000;82;
180103;0100;81;
180103;0200;82;
180103;0300;82;
180103;0400;82;
180103;0500;81;
180103;0600;80;
180103;0700;80;
180103;0800;74;
180103;0900;72;
180103;1000;74;
180103;1100;75;
180103;1200;79;
180103;1300;66;
180103;1400;63;
180103;1500;65;
180103;1600;79;
180103;1700;93;
180103;1800;96;
180103;1900;93;
180103;2000;96;
180103;2100;98;
180103;2200;98;
180103;2300;99;
180104;0000;100;
180104;0100;100;
180104;0200;100;
180104;0300;100;
180104;0400;100;
180104;0500;100;
180104;0600;100;
180104;0700;100;
180104;0800;99;
180104;0900;93;
180104;1000;82;
180104;1100;62;
180104;1200;51;
180104;1300;44;
180104;1400;46;
180104;1500;46;
180104;1600;47;
180104;1700;50;
180104;1800;54;
180104;1900;61;
180104;2000;67;
180104;2100;69;
180104;2200;72;
180104;2300;76;
180105;0000;91;
180105;0100;96;
180105;0200;97;
180105;0300;96;
180105;0400;96;
180105;0500;96;
180105;0600;95;
180105;0700;89;
180105;0800;80;
180105;0900;69;
180105;1000;60;
180105;1100;53;
180105;1200;49;
180105;1300;51;
180105;1400;49;
180105;1500;47;
180105;1600;45;
180105;1700;48;
180105;1800;53;
180105;1900;59;
180105;2000;65;
180105;2100;73;
180105;2200;78;
180105;2300;79;
180106;0000;82;
180106;0100;87;
180106;0200;89;
180106;0300;91;
180106;0400;93;
180106;0500;94;
180106;0600;94;
180106;0700;87;
180106;0800;74;
180106;0900;67;
180106;1000;63;
180106;1100;55;
180106;1200;48;
180106;1300;50;
180106;1400;54;
180106;1500;54;
180106;1600;55;
180106;1700;57;
180106;1800;60;
180106;1900;66;
180106;2000;74;
180106;2100;81;
180106;2200;87;
180106;2300;90;
180107;0000;93;
180107;0100;95;
180107;0200;97;
180107;0300;98;
