FECHA (YYMMDD);HORA (HHMM);;
180101;0100;0;
180101;0200;0;
180101;0300;0;
180101;0400;0;
180101;0500;0;
180101;0600;0;
180101;0700;0;
180101;0800;0;
180101;0900;0;
180101;1000;0;
180101;1100;0;
180101;1200;0;
180101;1300;0;
180101;1400;0;
180101;1500;0;
180101;1600;0;
180101;1700;0;
180101;1800;0;
180101;1900;0;
180101;2000;0;
180101;2100;0;
180101;2200;0;
180101;2300;0;
180102;0000;0;
180102;0100;0;
180102;0200;0;
180102;0300;0;
180102;0400;0;
180102;0500;0;
180102;0600;0;
180102;0700;0;
180102;0800;0;
180102;0900;0;
180102;1000;0;
180102;1100;0;
180102;1200;0;
180102;1300;0;
180102;1400;0;
180102;1500;0;
180102;1600;0;
180102;1700;0;
180102;1800;0;
180102;1900;0;
180102;2000;0;
180102;2100;0;
180102;2200;0;
180102;2300;0;
180103;0000;0;
180103;0100;0;
180103;0200;0;
180103;0300;0;
180103;0400;0;
180103;0500;0;
180103;0600;0;
180103;0700;0;
180103;0800;0;
180103;0900;0;
180103;1000;0;
180103;1100;0;
180103;1200;0,2;
180103;1300;0;
180103;1400;0;
180103;1500;0;
180103;1600;0,2;
180103;1700;2;
180103;1800;2;
180103;1900;4,8;
180103;2000;3,2;
180103;2100;0,8;
180103;2200;3;
180103;2300;0,8;
180104;0000;1,8;
180104;0100;0,4;
180104;0200;0,8;
180104;0300;2,4;
180104;0400;0,4;
180104;0500;0;
180104;0600;0;
180104;0700;0;
180104;0800;0;
180104;0900;0;
180104;1000;0;
180104;1100;0;
180104;1200;0;
180104;1300;0;
180104;1400;0;
180104;1500;0;
180104;1600;0;
180104;1700;0;
180104;1800;0;
180104;1900;0;
180104;2000;0;
180104;2100;0;
180104;2200;0;
180104;2300;0;
180105;0000;1,2;
180105;0100;0;
180105;0200;0;
180105;0300;0;
180105;0400;0;
180105;0500;0;
180105;0600;0;
180105;0700;0;
180105;0800;0;
180105;0900;0,2;
180105;1000;0;
180105;1100;0;
180105;1200;0;
180105;1300;0;
180105;1400;0;
180105;1500;0;
180105;1600;0;
180105;1700;0;
180105;1800;0;
180105;1900;0;
180105;2000;0;
180105;2100;0;
180105;2200;0;
180105;2300;0;
180106;0000;0;
180106;0100;0;
180106;0200;0;
180106;0300;0;
180106;0400;0;
180106;0500;0;
180106;0600;0;
180106;0700;0;
180106;0800;0;
180106;0900;0;
180106;1000;0;
180106;1100;0;
180106;1200;0;
180106;1300;0;
180106;1400;0;
180106;1500;0;
180106;1600;0;
180106;1700;0;
180106;1800;0;
180106;1900;0;
180106;2000;0;
180106;2100;0;
180106;2200;0;
180106;2300;0;
180107;0000;0;
180107;0100;0;
180107;0200;0;
180107;0300;0;
180107;0400;0;
180107;0500;0;
180107;0600;0;
180107;0700;0;
180107;0800;0;
180107;0900;0;
180107;1000;0;
180107;1100;0;
180107;1200;0;
180107;1300;0;
180107;1400;0;
180107;1500;0;
180107;1600;0;
180107;1700;0;
180107;1800;0;
180107;1900;0;
180107;2000;0;
180107;2100;0;
180107;2200;0;
180107;2300;0;
180108;0000;0;
180108;0100;0;
180108;0200;0;
180108;0300;0;
180108;0400;0;
180108;0500;0;
180108;0600;0;
180108;0700;0;
180108;0800;0;
