FECHA (YYMMDD);HORA (HHMM);;
180101;0100;1012;
180101;0200;1011;
180101;0300;1011;
180101;0400;1011;
180101;0500;1011;
180101;0600;1012;
180101;0700;1012;
180101;0800;1012;
180101;0900;1012;
180101;1000;1012;
180101;1100;1011;
180101;1200;1011;
180101;1300;1011;
180101;1400;1011;
180101;1500;1011;
180101;1600;1011;
180101;1700;1011;
180101;1800;1011;
180101;1900;1012;
180101;2000;1012;
180101;2100;1012;
180101;2200;1012;
180101;2300;1012;
180102;0000;1012;
180102;0100;1012;
180102;0200;1012;
180102;0300;1011;
180102;0400;1011;
180102;0500;1011;
180102;0600;1011;
180102;0700;1011;
180102;0800;1011;
180102;0900;1011;
180102;1000;1011;
180102;1100;1011;
180102;1200;1011;
180102;1300;1011;
180102;1400;1011;
180102;1500;1010;
180102;1600;1010;
180102;1700;1010;
180102;1800;1009;
180102;1900;1010;
180102;2000;1010;
180102;2100;1010;
180102;2200;1010;
180102;2300;1010;
180103;0000;1009;
180103;0100;1009;
180103;0200;1008;
180103;0300;1007;
180103;0400;1007;
180103;0500;1007;
180103;0600;1006;
180103;0700;1006;
180103;0800;1006;
180103;0900;1005;
180103;1000;1005;
180103;1100;1004;
180103;1200;1004;
180103;1300;1003;
180103;1400;1003;
180103;1500;1003;
180103;1600;1003;
180103;1700;1003;
180103;1800;1003;
180103;1900;1003;
180103;2000;1003;
180103;2100;1003;
180103;2200;1003;
180103;2300;1003;
180104;0000;1003;
180104;0100;1002;
180104;0200;1002;
180104;0300;1002;
180104;0400;1002;
180104;0500;1003;
180104;0600;1004;
180104;0700;1004;
180104;0800;1005;
180104;0900;1005;
180104;1000;1006;
180104;1100;1006;
180104;1200;1006;
180104;1300;1006;
180104;1400;1006;
180104;1500;1007;
180104;1600;1007;
180104;1700;1007;
180104;1800;1007;
180104;1900;1008;
180104;2000;1008;
180104;2100;1009;
180104;2200;1009;
180104;2300;1010;
180105;0000;1010;
180105;0100;1010;
180105;0200;1010;
180105;0300;1010;
180105;0400;1011;
180105;0500;1011;
180105;0600;1012;
180105;0700;1013;
180105;0800;1014;
180105;0900;1014;
180105;1000;1014;
180105;1100;1014;
180105;1200;1015;
180105;1300;1015;
180105;1400;1015;
180105;1500;1014;
180105;1600;1014;
180105;1700;1015;
180105;1800;1015;
180105;1900;1016;
180105;2000;1016;
180105;2100;1017;
180105;2200;1017;
180105;2300;1017;
180106;0000;1017;
180106;0100;1016;
180106;0200;1016;
180106;0300;1016;
180106;0400;1016;
180106;0500;1016;
180106;0600;1016;
180106;0700;1015;
180106;0800;1015;
180106;0900;1015;
180106;1000;1015;
180106;1100;1014;
180106;1200;1014;
180106;1300;1013;
180106;1400;1013;
180106;1500;1012;
180106;1600;1012;
180106;1700;1011;
180106;1800;1011;
180106;1900;1011;
180106;2000;1011;
180106;2100;1012;
180106;2200;1012;
180106;2300;1012;
180107;0000;1012;
180107;0100;1012;
180107;0200;1011;
180107;0300;1011;
180107;0400;1011;
180107;0500;1011;
180107;0600;1011;
180107;0700;1011;
180107;0800;1010;
180107;0900;1010;
180107;1000;1009;
180107;1100;1008;
180107;1200;1008;
180107;1300;1007;
180107;1400;1007;
180107;1500;1007;
180107;1600;1007;
180107;1700;1007;
180107;1800;1007;
180107;1900;1007;
180107;2000;1006;
180107;2100;1006;
180107;2200;1006;
180107;2300;1005;
180108;0000;1005;
180108;0100;1004;
180108;0200;1004;
180108;0300;1003;
180108;0400;1002;
180108;0500;1002;
180108;0600;1002;
180108;0700;1003;
180108;0800;1004;
180108;0900;1005;
180108;1000;1006;
180108;1100;1006;
180108;1200;1006;
180108;1300;1006;
180108;1400;1006;
180108;1500;1006;
180108;1600;1007;
180108;1700;1007;
180108;1800;1008;
180108;1900;1008;
180108;2000;1009;
180108;2100;1009;
180108;2200;1009;
180108;2300;1009;
180109;0000;1009;
180109;0100;1008;
180109;0200;1008;
180109;0300;1008;
180109;0400;1008;
180109;0500;1008;
180109;0600;1008;
180109;0700;1008;
180109;0800;1009;
180109;0900;1008;
180109;1000;1008;
180109;1100;1008;
180109;1200;1007;
180109;1300;1007;
180109;1400;1007;
180109;1500;1007;
180109;1600;1006;
180109;1700;1006;
180109;1800;1007;
180109;1900;1007;
180109;2000;1008;
180109;2100;1008;
180109;2200;1008;
180109;2300;1008;
180110;0000;1007;
180110;0100;1007;
180110;0200;1007;
180110;0300;1006;
180110;0400;1006;
180110;0500;1006;
180110;0600;1006;
180110;0700;1006;
180110;0800;1006;
180110;0900;1006;
180110;1000;1006;
180110;1100;1006;
180110;1200;1006;
180110;1300;1006;
180110;1400;1006;
180110;1500;1006;
180110;1600;1006;
180110;1700;1006;
180110;1800;1006;
180110;1900;1007;
180110;2000;1008;
180110;2100;1009;
180110;2200;1009;
180110;2300;1009;
180111;0000;1009;
180111;0100;1008;
180111;0200;1008;
