FECHA (YYMMDD);HORA (HHMM);;
180101;0100;9,3;
180101;0200;8,5;
180101;0300;7,9;
180101;0400;7,4;
180101;0500;6,7;
180101;0600;9;
180101;0700;11,7;
180101;0800;13,5;
180101;0900;15,2;
180101;1000;17,3;
180101;1100;18,4;
180101;1200;19,9;
180101;1300;20,5;
180101;1400;19,3;
180101;1500;17,9;
180101;1600;17;
180101;1700;15,6;
180101;1800;14,7;
180101;1900;14,1;
180101;2000;13,5;
180101;2100;13,1;
180101;2200;12,8;
180101;2300;12,2;
180102;0000;12,1;
180102;0100;11,8;
180102;0200;11,8;
180102;0300;11,8;
180102;0400;11,7;
180102;0500;12;
180102;0600;12,2;
180102;0700;12,4;
180102;0800;12,9;
180102;0900;13,5;
180102;1000;14;
180102;1100;15,5;
180102;1200;17,3;
180102;1300;18,7;
180102;1400;19,2;
180102;1500;19,4;
180102;1600;20,3;
180102;1700;19,3;
180102;1800;18,1;
180102;1900;17,9;
180102;2000;17,7;
180102;2100;17,4;
180102;2200;17;
180102;2300;16,6;
180103;0000;16,7;
180103;0100;16,9;
180103;0200;16,8;
180103;0300;16,9;
180103;0400;16,7;
180103;0500;16,6;
180103;0600;16,7;
180103;0700;17,3;
180103;0800;18;
180103;0900;18,6;
180103;1000;18,8;
180103;1100;19,4;
180103;1200;19,5;
180103;1300;21,1;
180103;1400;21,7;
180103;1500;21,5;
180103;1600;19,7;
180103;1700;17,6;
180103;1800;17,1;
180103;1900;16,1;
180103;2000;15,7;
180103;2100;15,9;
180103;2200;16,1;
180103;2300;15,9;
180104;0000;15,8;
180104;0100;15,8;
180104;0200;15,8;
180104;0300;15,5;
180104;0400;14,7;
180104;0500;14,2;
180104;0600;14,1;
180104;0700;14,2;
180104;0800;14,4;
180104;0900;14,8;
180104;1000;15,6;
180104;1100;17,3;
180104;1200;18,8;
180104;1300;19,8;
180104;1400;19,7;
180104;1500;19,5;
180104;1600;19,5;
180104;1700;19,1;
180104;1800;17,8;
180104;1900;17,2;
180104;2000;16;
180104;2100;15,5;
180104;2200;15;
180104;2300;14,5;
180105;0000;13,3;
180105;0100;12,5;
180105;0200;11,9;
180105;0300;11,9;
180105;0400;12;
180105;0500;12;
180105;0600;12,2;
180105;0700;13,2;
180105;0800;14,3;
180105;0900;15,3;
180105;1000;16,8;
180105;1100;17,1;
180105;1200;18;
180105;1300;18;
180105;1400;18,8;
180105;1500;19,3;
180105;1600;19,6;
180105;1700;18,9;
180105;1800;17,9;
180105;1900;16,6;
180105;2000;14,4;
180105;2100;13;
180105;2200;12;
180105;2300;11,1;
180106;0000;10,5;
180106;0100;9,39999;
180106;0200;9,39999;
180106;0300;8,5;
180106;0400;8,10001;
180106;0500;8;
180106;0600;9,39999;
180106;0700;12,8;
180106;0800;14,7;
180106;0900;16,2;
180106;1000;17,9;
180106;1100;19,5;
180106;1200;21,6;
180106;1300;22,5;
180106;1400;22,6;
180106;1500;23,1;
180106;1600;22,5;
180106;1700;23,3;
180106;1800;22,7;
180106;1900;20,9;
180106;2000;18,6;
180106;2100;16,6;
180106;2200;15,2;
180106;2300;14,2;
180107;0000;13,4;
180107;0100;12,9;
180107;0200;12,8;
180107;0300;13,1;
180107;0400;13;
180107;0500;12,7;
180107;0600;12,6;
180107;0700;13;
180107;0800;14,2;
180107;0900;18,6;
180107;1000;22,1;
180107;1100;24,9;
180107;1200;27,4;
180107;1300;28,4;
180107;1400;28,8;
180107;1500;28,7;
180107;1600;27,1;
180107;1700;26;
180107;1800;24,7;
180107;1900;23,1;
180107;2000;20,8;
180107;2100;18,8;
180107;2200;17;
180107;2300;15,8;
180108;0000;14,6;
180108;0100;14,4;
180108;0200;13,6;
180108;0300;13,1;
180108;0400;12,6;
180108;0500;11,7;
180108;0600;12,3;
180108;0700;14,8;
180108;0800;18,8;
180108;0900;20,9;
180108;1000;23,2;
180108;1100;25;
180108;1200;26,2;
180108;1300;26,9;
180108;1400;27,8;
180108;1500;27,2;
180108;1600;23,3;
180108;1700;21,1;
180108;1800;18,9;
180108;1900;17,4;
180108;2000;16,8;
180108;2100;16,3;
180108;2200;16,1;
180108;2300;15,7;
180109;0000;15,4;
180109;0100;15,4;
180109;0200;15,1;
180109;0300;15;
180109;0400;14,4;
180109;0500;13,6;
180109;0600;13,7;
180109;0700;14,2;
180109;0800;14,9;
180109;0900;16,2;
180109;1000;18,7;
180109;1100;21,4;
180109;1200;23,7;
180109;1300;25,3;
180109;1400;25,8;
180109;1500;26,1;
180109;1600;25,4;
180109;1700;23,4;
180109;1800;21,1;
180109;1900;18;
180109;2000;16,5;
180109;2100;15,7;
180109;2200;15,3;
180109;2300;14,8;
180110;0000;14,3;
180110;0100;13,7;
180110;0200;13,2;
180110;0300;13,2;
180110;0400;13,2;
180110;0500;12,9;
180110;0600;12,9;
180110;0700;13,8;
180110;0800;16,3;
180110;0900;18,8;
180110;1000;20,6;
180110;1100;22,6;
180110;1200;24,2;
180110;1300;25,7;
180110;1400;25,4;
180110;1500;25;
180110;1600;24,4;
180110;1700;23,9;
180110;1800;22,5;
180110;1900;20,1;
180110;2000;16,3;
180110;2100;14,5;
180110;2200;13,9;
180110;2300;13,5;
180111;0000;13,3;
180111;0100;12,5;
180111;0200;11,8;
180111;0300;11,4;
180111;0400;10,9;
180111;0500;10,7;
180111;0600;11,4;
180111;0700;12,1;
180111;0800;14,4;
180111;0900;17,5;
180111;1000;20,8;
180111;1100;23,4;
180111;1200;25,2;
180111;1300;27,1;
180111;1400;27,9;
180111;1500;28;
180111;1600;26,2;
180111;1700;25,6;
180111;1800;23,5;
