FECHA (YYMMDD);HORA (HHMM);
180101;100;0,4
180101;200;0,5
180101;300;0,3
180101;400;
180101;500;0,2
180101;600;0,1
180101;700;0,5
180101;800;1,2
180101;900;1,8
180101;1000;2,1
180101;1100;2,9
180101;1200;2,8
180101;1300;3,1
180101;1400;4,5
180101;1500;4,3
180101;1600;3,9
180101;1700;4,2
180101;1800;3,5
180101;1900;3,1
180101;2000;2,3
180101;2100;2,3
180101;2200;1,7
180101;2300;0,8
180102;0;1,1
180102;100;0,6
180102;200;0,4
180102;300;0,5
180102;400;0,2
180102;500;0,6
180102;600;0,8
180102;700;0,6
180102;800;1,5
180102;900;1,5
180102;1000;1,9
180102;1100;3,2
180102;1200;3,8
180102;1300;3,1
180102;1400;3,2
180102;1500;2,9
180102;1600;2,6
180102;1700;3,3
180102;1800;1,5
180102;1900;1,3
180102;2000;1,2
180102;2100;1,2
180102;2200;1,6
180102;2300;1,7
180103;0;1,7
180103;100;2
180103;200;2,1
180103;300;2,1
180103;400;2,2
180103;500;3,2
180103;600;2,9
180103;700;3,9
180103;800;4,2
180103;900;
180103;1000;
180103;1100;1
180103;1200;3,9
180103;1300;5,4
180103;1400;5,4
180103;1500;5,6
180103;1600;3,5
180103;1700;2,2
180103;1800;1,4
180103;1900;3
180103;2000;3,5
180103;2100;3
180103;2200;3,2
180103;2300;3
180104;0;2,8
180104;100;2,5
180104;200;2,4
180104;300;2
180104;400;2,8
180104;500;1,3
180104;600;1,4
180104;700;0,9
180104;800;1,4
180104;900;2,2
180104;1000;3,5
180104;1100;3,2
180104;1200;3,4
180104;1300;2,8
180104;1400;3,9
180104;1500;4,1
180104;1600;4,2
180104;1700;4,1
180104;1800;2,7
180104;1900;2,3
180104;2000;1,7
180104;2100;1,4
180104;2200;1,8
180104;2300;1,6
180105;0;1,1
180105;100;0,5
180105;200;0,2
180105;300;0,5
180105;400;0,6
180105;500;0,5
180105;600;0,4
180105;700;0,7
180105;800;2,2
180105;900;3,1
180105;1000;2,8
180105;1100;3,1
180105;1200;3,5
180105;1300;3,7
180105;1400;3,2
180105;1500;3,1
180105;1600;3,2
180105;1700;3,7
180105;1800;3,2
180105;1900;2,8
180105;2000;2,3
180105;2100;1,8
180105;2200;1
180105;2300;0,7
180106;0;0,6
180106;100;0,4
180106;200;0,5
180106;300;0,2
180106;400;0,3
180106;500;0,6
180106;600;0,2
180106;700;0,5
180106;800;1,1
180106;900;1,5
180106;1000;2,2
180106;1100;2,5
180106;1200;2,1
180106;1300;2,5
180106;1400;2,9
180106;1500;2,5
180106;1600;2,4
180106;1700;2,8
180106;1800;2,8
180106;1900;3
180106;2000;2,2
180106;2100;2
180106;2200;0,7
180106;2300;0,8
180107;0;0,3
180107;100;0,4
180107;200;0,5
180107;300;1,1
180107;400;0,6
180107;500;0,6
180107;600;1,2
180107;700;0,6
180107;800;1,3
180107;900;1,4
180107;1000;2,2
180107;1100;2,3
180107;1200;2,9
180107;1300;3,9
180107;1400;3,4
180107;1500;4,1
180107;1600;4,9
180107;1700;4,7
180107;1800;4
180107;1900;3,3
180107;2000;1,2
180107;2100;0,9
180107;2200;0,7
180107;2300;0,4
180108;0;0,4
180108;100;0,6
180108;200;0,4
180108;300;0,7
180108;400;0,5
180108;500;0,4
180108;600;0,4
180108;700;1,4
180108;800;1,3
180108;900;1,9
180108;1000;1,8
180108;1100;2,2
180108;1200;2,6
180108;1300;2,7
180108;1400;1,7
180108;1500;3,3
180108;1600;4,6
180108;1700;4,4
180108;1800;4,9
180108;1900;4,4
180108;2000;3,1
180108;2100;2,1
180108;2200;1,2
180108;2300;1
180109;0;0,8
180109;100;1
180109;200;1,6
180109;300;1,6
180109;400;1,6
180109;500;1,7
180109;600;1
180109;700;
180109;800;
180109;900;
180109;1000;
180109;1100;
180109;1200;
180109;1300;3,1
180109;1400;3,3
180109;1500;3,5
180109;1600;3,8
180109;1700;4
180109;1800;3
180109;1900;2,4
180109;2000;1,8
180109;2100;1,5
180109;2200;1,2
180109;2300;1,1
180110;0;0,8
180110;100;1
180110;200;0,6
180110;300;0,7
180110;400;1,1
180110;500;0,9
180110;600;0,6
180110;700;0,8
180110;800;1,4
180110;900;1,7
180110;1000;2,2
180110;1100;2,1
180110;1200;2,8
180110;1300;3,1
180110;1400;3,4
180110;1500;3,4
180110;1600;3,6
180110;1700;2,9
180110;1800;2,8
180110;1900;2,7
180110;2000;2,4
180110;2100;1,9
180110;2200;1,2
180110;2300;0,7
180111;0;0,6
180111;100;0,1
180111;200;0
180111;300;0
180111;400;
180111;500;0,3
180111;600;0,5
180111;700;0,3
180111;800;1,6
180111;900;1,3
180111;1000;1,4
180111;1100;1,7
180111;1200;2
180111;1300;2,1
180111;1400;2,2
180111;1500;4
180111;1600;4,1
180111;1700;3,2
180111;1800;3,2
180111;1900;2,3
180111;2000;1,9
180111;2100;1,6
180111;2200;1,2
180111;2300;1,2
180112;0;1,1
180112;100;0,9
180112;200;0,5
180112;300;0,3
180112;400;0,4
180112;500;0,3
180112;600;0,6
180112;700;1,8
180112;800;1,9
180112;900;1,5
180112;1000;1,6
180112;1100;1,8
180112;1200;3,2
180112;1300;3,5
180112;1400;3,7
180112;1500;2,7
180112;1600;3
180112;1700;3,6
180112;1800;4,1
180112;1900;4,2
180112;2000;2,6
180112;2100;1,1
180112;2200;1,6
180112;2300;1,2
180113;0;0,6
180113;100;1,2
180113;200;1,5
180113;300;2,2
180113;400;1,4
180113;500;1,5
180113;600;2,2
180113;700;2,8
180113;800;2,7
180113;900;2,9
180113;1000;3,3
180113;1100;3,7
180113;1200;3,8
180113;1300;3,8
180113;1400;3,7
180113;1500;3,2
180113;1600;3,6
180113;1700;4,1
180113;1800;3,8
180113;1900;2,9
180113;2000;1,9
180113;2100;1,1
180113;2200;0,9
180113;2300;0,5
180114;0;0,5
180114;100;0,2
180114;200;0,1
180114;300;0,1
180114;400;0
180114;500;0,1
180114;600;0,4
180114;700;1,5
180114;800;1,8
180114;900;1,6
180114;1000;1,6
180114;1100;1,5
180114;1200;1,8
180114;1300;2,1
180114;1400;2,3
180114;1500;2,5
180114;1600;3,5
180114;1700;3,8
180114;1800;3
180114;1900;1,9
180114;2000;1,4
180114;2100;1,4
180114;2200;1
180114;2300;1
180115;0;0,8
180115;100;0,4
180115;200;0
180115;300;0,2
180115;400;0,2
180115;500;0,9
180115;600;0,6
180115;700;0,9
180115;800;1,3
180115;900;1
180115;1000;1,4
180115;1100;1,3
180115;1200;1,2
180115;1300;1,2
180115;1400;0,7
180115;1500;1,6
180115;1600;2,2
180115;1700;3,6
180115;1800;2
180115;1900;1,8
180115;2000;1,3
180115;2100;1,3
180115;2200;0,7
180115;2300;0,8
180116;0;1
180116;100;0,1
180116;200;0,3
180116;300;0,4
180116;400;0,1
180116;500;0
180116;600;0
180116;700;0,8
180116;800;1,2
180116;900;1,7
180116;1000;2,5
180116;1100;2,8
180116;1200;3,2
180116;1300;3,2
180116;1400;4
180116;1500;4,6
180116;1600;4,9
180116;1700;5
180116;1800;4,6
180116;1900;4,4
180116;2000;1,7
180116;2100;1,7
180116;2200;1,7
180116;2300;1,6
180117;0;1,2
180117;100;1,1
180117;200;1
180117;300;0,6
180117;400;0,2
180117;500;0,2
180117;600;0,3
180117;700;0,9
180117;800;1,6
180117;900;1,8
180117;1000;2,2
180117;1100;2,7
180117;1200;3,2
180117;1300;3,1
180117;1400;4,1
180117;1500;4,4
180117;1600;5,1
180117;1700;5,1
180117;1800;5
180117;1900;3,9
180117;2000;1,3
180117;2100;1,2
180117;2200;1,1
180117;2300;1,1
180118;0;0,5
180118;100;0,4
180118;200;0,6
180118;300;0,6
180118;400;0,6
180118;500;0,7
180118;600;0,9
180118;700;2,2
180118;800;2,4
180118;900;3,3
180118;1000;3,8
180118;1100;4,4
180118;1200;4,6
180118;1300;4,3
180118;1400;4,3
180118;1500;4,6
180118;1600;5,3
180118;1700;4,8
180118;1800;4,4
180118;1900;3,6
180118;2000;3,2
180118;2100;2
180118;2200;1,5
180118;2300;1,5
180119;0;1
180119;100;1,2
180119;200;1,2
180119;300;1,3
180119;400;1,6
180119;500;1,2
180119;600;1,3
180119;700;2,3
180119;800;2,3
180119;900;2,3
180119;1000;3,2
180119;1100;3,3
180119;1200;3,8
180119;1300;4,2
