FECHA (YYMMDD);HORA (HHMM);
180101;0;NA
180102;0;NA
180103;0;NA
180104;0;NA
180105;0;NA
180106;0;NA
180107;0;NA
180108;0;NA
180109;0;NA
180110;0;NA
180111;0;NA
180112;0;NA
180113;0;NA
180114;0;NA
180115;0;NA
180116;0;NA
180117;0;NA
180118;0;NA
180119;0;NA
180120;0;NA
180121;0;NA
180122;0;NA
180123;0;NA
180124;0;NA
180125;0;NA
180126;0;NA
180127;0;NA
180128;0;NA
180129;0;NA
180130;0;NA
180131;0;NA
180201;0;NA
180202;0;NA
180203;0;NA
180204;0;NA
180205;0;NA
180206;0;NA
180207;0;NA
180208;0;NA
180209;0;NA
180210;0;NA
180211;0;NA
180212;0;NA
180213;0;NA
180214;0;NA
180215;0;NA
180216;0;NA
180217;0;NA
180218;0;NA
180219;0;NA
180220;0;NA
180221;0;NA
180222;0;NA
180223;0;NA
180224;0;NA
180225;0;NA
180226;0;NA
180227;0;NA
180228;0;NA
180301;0;NA
180302;0;NA
180303;0;NA
180304;0;NA
180305;0;NA
180306;0;NA
180307;0;NA
180308;0;NA
180309;0;NA
180310;0;NA
180311;0;NA
180312;0;NA
180313;0;NA
180314;0;NA
180315;0;NA
180316;0;NA
180317;0;NA
180318;0;NA
180319;0;NA
180320;0;NA
180321;0;NA
180322;0;NA
180323;0;NA
180324;0;NA
180325;0;NA
180326;0;NA
180327;0;NA
180328;0;NA
180329;0;NA
180330;0;NA
180331;0;NA
180401;0;NA
180402;0;NA
180403;0;NA
180404;0;NA
180405;0;NA
180406;0;NA
180407;0;NA
180408;0;NA
180409;0;NA
180410;0;NA
180411;0;NA
180412;0;NA
180413;0;NA
180414;0;NA
180415;0;NA
180416;0;NA
180417;0;NA
180418;0;NA
180419;0;NA
180420;0;NA
180421;0;NA
180422;0;NA
180423;0;NA
180424;0;NA
180425;0;NA
180426;0;NA
180427;0;NA
180428;0;NA
180429;0;NA
180430;0;NA
180501;0;NA
180502;0;NA
180503;0;NA
180504;0;NA
180505;0;NA
180506;0;NA
180507;0;NA
180508;0;NA
180509;0;NA
180510;0;NA
180511;0;NA
180512;0;NA
180513;0;NA
180514;0;NA
180515;0;NA
180516;0;NA
180517;0;NA
180518;0;NA
180519;0;NA
180520;0;NA
180521;0;NA
180522;0;NA
180523;0;NA
180524;0;NA
180525;0;NA
180526;0;NA
180527;0;NA
180528;0;NA
180529;0;NA
180530;0;NA
180531;0;NA
180601;0;NA
180602;0;NA
180603;0;NA
180604;0;NA
180605;0;NA
180606;0;NA
180607;0;NA
180608;0;NA
180609;0;NA
180610;0;NA
180611;0;NA
180612;0;NA
180613;0;NA
180614;0;0,36
180615;0;1,05
180616;0;1,7
180617;0;0,61
180618;0;0,23
180619;0;0,48
180620;0;0,22
180621;0;0,32
180622;0;0,44
180623;0;1,23
180624;0;0,72
180625;0;0,11
180626;0;0,13
180627;0;0,14
180628;0;0,13
180629;0;0,13
180630;0;0,24
180701;0;0,3
180702;0;0,35
180703;0;1,09
180704;0;0,92
180705;0;0,15
180706;0;1,01
180707;0;0,72
180708;0;0,46
180709;0;0,56
180710;0;0,94
180711;0;0,41
180712;0;0,25
180713;0;0,12
180714;0;0,26
180715;0;0,93
180716;0;0,65
180717;0;1,03
180718;0;1,38
180719;0;2,42
180720;0;0,88
180721;0;0,62
180722;0;1,2
180723;0;0,69
180724;0;0,71
180725;0;0,38
180726;0;0,24
180727;0;1,18
180728;0;1,34
180729;0;2,3
180730;0;2,11
180731;0;2,28
180801;0;2,39
180802;0;0,84
180803;0;0,44
180804;0;0,13
180805;0;0,21
180806;0;0,52
180807;0;1,56
180808;0;1,23
180809;0;1,8
180810;0;0,7
180811;0;0,66
180812;0;0,23
180813;0;0,78
180814;0;0,98
180815;0;0,97
180816;0;0,27
180817;0;0,46
180818;0;1,3
180819;0;0,45
180820;0;1,05
180821;0;1,36
180822;0;0,88
180823;0;1,08
180824;0;0,6
180825;0;0,51
180826;0;0,49
180827;0;0,36
180828;0;0,12
180829;0;0,14
180830;0;0,24
180831;0;0,6
180901;0;0,52
180902;0;0,42
180903;0;0,5
180904;0;0,54
180905;0;0,16
180906;0;0,48
180907;0;1,01
180908;0;1,31
180909;0;0,41
180910;0;0,58
180911;0;NA
180912;0;0,96
180913;0;0,69
180914;0;0,46
180915;0;0,42
180916;0;0,1
180917;0;0,28
180918;0;0,22
180919;0;0,1
180920;0;0,1
180921;0;0,1
180922;0;0,1
180923;0;0,23
180924;0;0,18
180925;0;0,32
180926;0;0,42
180927;0;0,33
180928;0;0,16
180929;0;0,16
180930;0;0,45
181001;0;0,56
181002;0;0,85
181003;0;0,85
181004;0;0,12
181005;0;0,17
181006;0;0,21
181007;0;0,14
181008;0;0,22
181009;0;0,44
181010;0;0,21
181011;0;0,14
181012;0;0,41
181013;0;0,31
181014;0;0,1
181015;0;0,1
181016;0;0,1
181017;0;0,27
181018;0;0,45
181019;0;0,22
181020;0;0,19
181021;0;0,26
181022;0;0,17
181023;0;0,14
181024;0;0,26
181025;0;0,17
181026;0;0,2
181027;0;0,13
181028;0;0,13
181029;0;0,17
181030;0;0,27
181031;0;0,15
181101;0;0,24
181102;0;0,25
181103;0;0,14
181104;0;0,13
181105;0;0,39
181106;0;0,12
181107;0;0,18
181108;0;0,15
181109;0;0,24
181110;0;0,31
181111;0;0,25
181112;0;0,18
181113;0;0,37
181114;0;0,19
181115;0;0,18
181116;0;0,15
181117;0;0,14
181118;0;0,14
181119;0;0,13
181120;0;0,1
181121;0;0,14
181122;0;0,33
181123;0;0,1
181124;0;0,1
181125;0;0,1
181126;0;0,1
181127;0;0,1
181128;0;0,1
181129;0;0,1
181130;0;0,1
181201;0;0,1
181202;0;0,1
181203;0;0,1
181204;0;0,1
181205;0;0,1
181206;0;0,1
181207;0;0,12
181208;0;0,1
181209;0;0,1
181210;0;0,11
181211;0;0,1
181212;0;0,1
181213;0;0,1
181214;0;0,1
181215;0;0,1
181216;0;0,1
181217;0;0,1
181218;0;0,11
181219;0;0,1
181220;0;0,11
181221;0;0,12
181222;0;0,1
181223;0;0,12
181224;0;0,14
181225;0;0,13
181226;0;0,1
181227;0;0,1
181228;0;0,1
181229;0;0,11
181230;0;0,11
181231;0;0,12
190101;0;0,1
190102;0;0,1
190103;0;0,1
190104;0;0,11
190105;0;0,12
190106;0;0,1
190107;0;0,1
190108;0;0,11
190109;0;0,13
190110;0;0,11
190111;0;0,12
190112;0;0,11
190113;0;0,1
190114;0;0,1
190115;0;0,1
190116;0;0,1
190117;0;0,1
190118;0;0,1
190119;0;0,1
190120;0;0,1
190121;0;NA
190122;0;0,1
190123;0;0,1
190124;0;0,1
190125;0;0,12
190126;0;0,1
190127;0;0,1
190128;0;0,1
190129;0;0,11
190130;0;0,11
190131;0;0,1
190201;0;0,1
190202;0;0,11
190203;0;0,12
190204;0;0,11
190205;0;0,1
190206;0;0,1
190207;0;0,1
190208;0;0,1
190209;0;0,1
190210;0;0,11
190211;0;0,1
190212;0;0,1
190213;0;0,11
190214;0;0,17
190215;0;0,37
190216;0;0,34
190217;0;0,28
190218;0;0,22
190219;0;0,22
190220;0;0,25
190221;0;0,16
190222;0;0,15
190223;0;0,19
190224;0;0,24
190225;0;0,29
190226;0;0,23
190227;0;0,25
190228;0;0,31
190301;0;0,49
190302;0;0,19
190303;0;0,19
190304;0;0,12
190305;0;0,18
190306;0;0,18
190307;0;0,22
190308;0;0,17
190309;0;0,15
190310;0;0,17
190311;0;0,22
190312;0;0,22
190313;0;0,18
190314;0;0,23
190315;0;0,2
190316;0;0,23
190317;0;0,25
190318;0;0,3
190319;0;0,35
190320;0;0,24
190321;0;0,39
190322;0;0,31
190323;0;0,29
190324;0;0,21
190325;0;0,21
190326;0;0,23
190327;0;0,32
190328;0;0,24
190329;0;NA
190330;0;NA
190331;0;0,55
190401;0;0,41
190402;0;0,36
190403;0;0,53
190404;0;1,4
190405;0;0,72
190406;0;0,76
190407;0;1,28
190408;0;NA
190409;0;0,91
190410;0;0,59
190411;0;0,7
190412;0;1,43
190413;0;0,75
190414;0;0,99
190415;0;1,05
190416;0;0,7
190417;0;0,58
190418;0;1,22
190419;0;1,18
190420;0;0,55
190421;0;0,78
190422;0;0,55
190423;0;0,62
190424;0;1,07
190425;0;1,87
190426;0;1,38
190427;0;0,6
190428;0;0,78
190429;0;1,06
190430;0;1,24
190501;0;0,36
190502;0;0,98
190503;0;1,05
190504;0;0,68
190505;0;0,9
190506;0;1,05
190507;0;0,94
190508;0;0,99
190509;0;1,22
190510;0;0,51
190511;0;0,11
190512;0;0,39
190513;0;0,39
190514;0;1,99
190515;0;1,62
190516;0;0,79
190517;0;0,57
190518;0;0,22
190519;0;0,22
190520;0;0,11
190521;0;0,13
190522;0;0,18
190523;0;0,11
190524;0;0,47
190525;0;0,2
190526;0;0,91
190527;0;0,68
190528;0;0,49
190529;0;0,39
190530;0;0,1
190531;0;0,23
190601;0;0,1
190602;0;0,25
190603;0;0,22
190604;0;0,1
190605;0;0,1
190606;0;0,28
190607;0;0,16
190608;0;0,1
190609;0;0,47
190610;0;0,64
190611;0;0,51
190612;0;0,63
190613;0;1,21
190614;0;0,61
190615;0;0,25
190616;0;1,34
190617;0;1,41
190618;0;0,42
190619;0;0,89
190620;0;0,28
190621;0;0,1
190622;0;0,1
190623;0;0,12
190624;0;0,54
190625;0;0,12
190626;0;0,12
190627;0;0,15
190628;0;0,12
190629;0;0,23
190630;0;0,57
190701;0;0,46
190702;0;0,42
190703;0;0,45
190704;0;0,84
190705;0;0,58
190706;0;0,34
190707;0;1,38
190708;0;0,41
190709;0;0,15
190710;0;0,14
190711;0;0,15
190712;0;0,14
190713;0;0,1
190714;0;0,85
190715;0;0,93
190716;0;0,14
190717;0;0,23
190718;0;0,3
190719;0;0,19
190720;0;0,5
190721;0;0,61
190722;0;0,65
190723;0;1,15
190724;0;0,81
190725;0;1,52
190726;0;1,23
190727;0;1,1
190728;0;0,63
190729;0;0,1
190730;0;0,11
190731;0;0,1
190801;0;0,55
190802;0;1,13
190803;0;0,84
190804;0;0,37
190805;0;0,12
190806;0;0,72
190807;0;0,78
190808;0;0,6
190809;0;1,34
190810;0;0,18
190811;0;0,59
190812;0;0,86
190813;0;0,37
190814;0;1,98
190815;0;2,02
190816;0;0,13
190817;0;0,21
190818;0;0,43
190819;0;0,52
190820;0;1,42
190821;0;0,57
190822;0;0,73
190823;0;0,38
190824;0;0,36
190825;0;0,54
190826;0;0,31
190827;0;0,36
190828;0;0,18
190829;0;0,31
190830;0;0,69
190831;0;0,95
190901;0;1,47
190902;0;0,36
190903;0;0,11
190904;0;0,34
190905;0;0,61
190906;0;0,73
190907;0;0,41
190908;0;0,13
190909;0;0,29
190910;0;0,38
190911;0;0,47
190912;0;0,27
190913;0;0,17
190914;0;0,11
190915;0;0,6
190916;0;0,5
190917;0;0,33
190918;0;0,48
190919;0;0,59
190920;0;0,25
190921;0;0,36
190922;0;0,24
190923;0;0,14
190924;0;0,1
190925;0;0,1
190926;0;0,1
190927;0;NA
190928;0;0,1
190929;0;0,18
190930;0;0,26
191001;0;0,37
191002;0;0,65
191003;0;0,52
191004;0;NA
191005;0;NA
191006;0;NA
191007;0;0,88
191008;0;0,58
191009;0;0,63
191010;0;0,29
191011;0;0,32
191012;0;0,26
191013;0;0,2
191014;0;0,3
191015;0;0,53
191016;0;0,45
191017;0;0,39
191018;0;0,18
191019;0;0,13
191020;0;0,17
191021;0;0,41
191022;0;0,3
191023;0;0,24
191024;0;0,34
191025;0;0,24
191026;0;0,35
191027;0;0,33
191028;0;0,19
191029;0;0,44
191030;0;0,57
191031;0;0,29
191101;0;0,41
191102;0;0,43
191103;0;0,33
191104;0;0,44
191105;0;0,36
191106;0;0,42
191107;0;0,25
191108;0;0,19
191109;0;0,18
191110;0;0,16
191111;0;0,14
191112;0;0,13
191113;0;0,17
191114;0;0,21
191115;0;0,21
191116;0;0,21
191117;0;0,28
191118;0;0,24
191119;0;0,31
191120;0;0,22
191121;0;0,18
191122;0;0,22
191123;0;0,29
191124;0;0,29
191125;0;0,37
191126;0;0,44
191127;0;0,34
191128;0;0,25
191129;0;0,2
191130;0;0,21
191201;0;0,16
191202;0;0,16
191203;0;0,14
191204;0;0,15
191205;0;0,14
191206;0;0,15
191207;0;0,17
191208;0;0,16
191209;0;0,16
191210;0;0,18
191211;0;0,17
191212;0;0,17
191213;0;0,18
191214;0;0,2
191215;0;0,22
191216;0;0,2
191217;0;0,19
191218;0;0,2
191219;0;0,25
191220;0;0,22
191221;0;0,17
191222;0;0,15
191223;0;0,17
191224;0;0,19
191225;0;0,19
191226;0;0,18
191227;0;0,2
191228;0;0,19
191229;0;0,17
191230;0;0,15
191231;0;0,18
200101;0;0,16
200102;0;0,16
200103;0;0,18
200104;0;0,17
200105;0;0,18
200106;0;0,19
200107;0;0,2
200108;0;0,21
200109;0;0,28
200110;0;0,32
200111;0;0,23
200112;0;0,22
200113;0;0,22
200114;0;0,22
200115;0;0,24
200116;0;0,22
200117;0;0,24
200118;0;0,25
200119;0;0,25
200120;0;0,25
200121;0;0,25
200122;0;0,25
200123;0;0,25
200124;0;0,25
200125;0;0,25
200126;0;0,24
200127;0;0,24
200128;0;0,24
200129;0;0,23
200130;0;0,25
200131;0;0,27
200201;0;0,28
200202;0;0,28
200203;0;0,31
200204;0;0,29
200205;0;0,28
200206;0;0,28
200207;0;0,27
200208;0;0,25
200209;0;0,25
200210;0;0,25
200211;0;0,26
200212;0;0,29
200213;0;0,31
200214;0;0,36
200215;0;0,34
200216;0;0,31
200217;0;0,35
200218;0;0,34
200219;0;0,32
200220;0;0,32
200221;0;0,38
200222;0;0,36
200223;0;0,35
200224;0;0,36
200225;0;0,34
200226;0;0,32
200227;0;0,32
200228;0;0,31
200229;0;0,28
200301;0;0,29
200302;0;0,29
200303;0;0,32
200304;0;0,26
200305;0;0,14
200306;0;0,19
200307;0;0,18
200308;0;0,12
200309;0;0,13
200310;0;0,19
200311;0;0,14
200312;0;0,2
200313;0;0,17
200314;0;0,17
200315;0;0,13
200316;0;0,22
200317;0;0,17
200318;0;0,11
200319;0;0,11
200320;0;0,1
200321;0;0,11
200322;0;0,13
200323;0;0,16
200324;0;0,15
200325;0;NA
200326;0;0,25
200327;0;0,25
200328;0;0,37
200329;0;0,34
200330;0;0,26
200331;0;0,28
200401;0;0,38
200402;0;0,26
200403;0;0,26
200404;0;0,31
200405;0;0,52
200406;0;0,41
200407;0;0,32
200408;0;0,59
200409;0;0,79
200410;0;0,66
200411;0;0,64
200412;0;1,01
200413;0;1
200414;0;1,18
200415;0;1,09
200416;0;0,65
200417;0;0,6
200418;0;0,56
200419;0;0,6
200420;0;0,7
200421;0;1,17
200422;0;1,34
200423;0;1,36
200424;0;0,73
200425;0;0,74
200426;0;1,06
200427;0;0,6
200428;0;1,16
200429;0;0,96
200430;0;0,65
200501;0;0,9
200502;0;0,62
200503;0;0,51
200504;0;1,09
200505;0;1,3
200506;0;0,84
200507;0;1,39
200508;0;0,93
200509;0;0,39
200510;0;0,64
200511;0;1,42
200512;0;1,03
200513;0;0,63
200514;0;0,59
200515;0;0,51
200516;0;0,88
200517;0;1,05
200518;0;0,83
200519;0;0,73
200520;0;0,83
200521;0;0,94
200522;0;1,7
200523;0;1,22
200524;0;1,1
200525;0;0,99
200526;0;0,96
200527;0;1,63
200528;0;1,85
200529;0;0,75
200530;0;1,44
200531;0;0,97
200601;0;1,5
200602;0;0,6
200603;0;1,1
200604;0;0,94
200605;0;0,51
200606;0;1,17
200607;0;0,81
200608;0;0,69
200609;0;0,44
200610;0;0,33
200611;0;0,41
200612;0;1,17
200613;0;1,63
200614;0;0,75
200615;0;0,8
200616;0;0,82
200617;0;0,69
200618;0;0,48
200619;0;0,52
200620;0;0,97
200621;0;1,05
200622;0;0,6
200623;0;0,76
200624;0;1,04
200625;0;0,97
200626;0;0,77
200627;0;0,85
200628;0;0,85
200629;0;0,95
200630;0;0,81
200701;0;0,77
200702;0;0,9
200703;0;1,02
200704;0;1,37
200705;0;1,17
200706;0;0,9
200707;0;1,05
200708;0;1,44
200709;0;0,55
200710;0;0,88
200711;0;0,95
200712;0;1,24
200713;0;1,4
200714;0;1,35
200715;0;1,85
200716;0;1,11
200717;0;0,67
200718;0;0,57
200719;0;1,1
200720;0;3,14
200721;0;2,35
200722;0;1,74
200723;0;1,32
200724;0;1,32
200725;0;0,75
200726;0;1,39
200727;0;1,65
200728;0;1,53
200729;0;1,6
200730;0;0,96
200731;0;1,39
200801;0;1,02
200802;0;1,32
200803;0;2,03
200804;0;1,54
200805;0;1,31
200806;0;1,53
200807;0;1,54
200808;0;0,94
200809;0;0,86
200810;0;1,35
200811;0;1,7
200812;0;1,32
200813;0;1,04
200814;0;1,48
200815;0;1,88
200816;0;1,09
200817;0;1,32
200818;0;2,89
200819;0;1,21
200820;0;0,82
200821;0;1,04
200822;0;1,46
200823;0;1,42
200824;0;1,71
200825;0;1,42
200826;0;1,04
200827;0;0,81
200828;0;1,25
200829;0;2,01
200830;0;1,04
200831;0;0,82
200901;0;1,21
200902;0;1,16
200903;0;1,04
200904;0;1,37
200905;0;1,74
200906;0;1,51
200907;0;1,21
200908;0;0,93
200909;0;1,06
200910;0;1,18
200911;0;1,21
200912;0;1,03
200913;0;1,49
200914;0;1,23
200915;0;1,33
200916;0;1,16
200917;0;1,24
200918;0;1,46
200919;0;1,13
200920;0;1,21
200921;0;1,36
200922;0;1,26
200923;0;1,04
200924;0;1,13
200925;0;1,09
200926;0;1,31
200927;0;1,4
200928;0;1,41
200929;0;0,88
200930;0;0,98
201001;0;1,11
201002;0;1,14
201003;0;0,93
201004;0;1
201005;0;0,99
201006;0;0,86
201007;0;0,93
201008;0;0,88
201009;0;0,83
201010;0;1,03
201011;0;1,01
201012;0;0,81
201013;0;1,02
