FECHA (YYMMDD);HORA (HHMM);;
180101;0100;87,2;
180101;0200;88;
180101;0300;88,8;
180101;0400;89,2;
180101;0500;89,3;
180101;0600;89,4;
180101;0700;89,5;
180101;0800;89,8;
180101;0900;90,2;
180101;1000;90,4;
180101;1100;90,6;
180101;1200;90,5;
180101;1300;90,6;
180101;1400;90,7;
180101;1500;91;
180101;1600;91,3;
180101;1700;91,2;
180101;1800;91,6;
180101;1900;92;
180101;2000;92;
180101;2100;92;
180101;2200;92,2;
180101;2300;92,2;
180102;0000;92,3;
180102;0100;92,3;
180102;0200;92,4;
180102;0300;92,4;
180102;0400;92,5;
180102;0500;92,6;
180102;0600;92,6;
180102;0700;92,7;
180102;0800;92,8;
180102;0900;92,7;
180102;1000;92,3;
180102;1100;91,8;
180102;1200;91,5;
180102;1300;91;
180102;1400;90,7;
180102;1500;90,4;
180102;1600;90,1;
180102;1700;89,8;
180102;1800;89,6;
180102;1900;89,4;
180102;2000;89,2;
180102;2100;88,9;
180102;2200;88,8;
180102;2300;88,7;
180103;0000;88,7;
180103;0100;88,7;
180103;0200;88,7;
180103;0300;88,5;
180103;0400;88,6;
180103;0500;88,3;
180103;0600;88;
180103;0700;87,9;
180103;0800;88,3;
180103;0900;88,2;
180103;1000;88;
180103;1100;87,5;
180103;1200;87;
180103;1300;86,4;
180103;1400;85,8;
180103;1500;84,9;
180103;1600;84,7;
180103;1700;84,1;
180103;1800;83,6;
180103;1900;82,9;
180103;2000;82;
180103;2100;81,1;
180103;2200;80,2;
180103;2300;79,3;
180104;0000;78,6;
180104;0100;78;
180104;0200;77,4;
180104;0300;77;
180104;0400;76,8;
180104;0500;76,8;
180104;0600;76,7;
180104;0700;76,8;
180104;0800;77;
180104;0900;77,5;
180104;1000;77,9;
180104;1100;78,2;
180104;1200;78,3;
180104;1300;78,2;
180104;1400;77,9;
180104;1500;77,8;
180104;1600;77,3;
180104;1700;77,1;
180104;1800;76,5;
180104;1900;76;
180104;2000;75,5;
180104;2100;75,1;
180104;2200;74,8;
180104;2300;74,6;
180105;0000;74,5;
180105;0100;74,4;
180105;0200;74,3;
180105;0300;74,1;
180105;0400;73,9;
180105;0500;73,8;
180105;0600;73,7;
180105;0700;73,9;
180105;0800;73,6;
180105;0900;73,9;
180105;1000;74,2;
180105;1100;74,5;
180105;1200;74,9;
180105;1300;75,4;
180105;1400;75,8;
180105;1500;76,2;
180105;1600;76,8;
180105;1700;77,3;
180105;1800;77,9;
180105;1900;78,4;
180105;2000;78,8;
180105;2100;78,9;
180105;2200;78,7;
180105;2300;78,3;
180106;0000;77,8;
180106;0100;77,4;
180106;0200;76,9;
180106;0300;76,4;
180106;0400;75,8;
180106;0500;75,2;
180106;0600;74,6;
180106;0700;74;
180106;0800;73,5;
180106;0900;73,3;
180106;1000;73,4;
180106;1100;73,7;
180106;1200;73,9;
180106;1300;74,2;
180106;1400;74,3;
180106;1500;74,4;
180106;1600;74,4;
180106;1700;74,4;
180106;1800;74,3;
180106;1900;74,2;
180106;2000;74;
180106;2100;73,7;
180106;2200;73,2;
180106;2300;72,6;
180107;0000;72;
180107;0100;71,2;
180107;0200;70,5;
180107;0300;69,7;
180107;0400;68,9;
180107;0500;68,1;
180107;0600;67,2;
180107;0700;66,3;
180107;0800;65,4;
180107;0900;64,9;
180107;1000;64,6;
180107;1100;64,5;
180107;1200;64,5;
180107;1300;64,8;
180107;1400;65;
180107;1500;65,3;
180107;1600;65,8;
180107;1700;66,2;
180107;1800;66,7;
180107;1900;67,1;
180107;2000;67,4;
180107;2100;67,3;
180107;2200;67,1;
180107;2300;66,6;
180108;0000;65,7;
180108;0100;65,3;
180108;0200;64,7;
180108;0300;64,2;
180108;0400;63,6;
180108;0500;62,9;
180108;0600;62,2;
180108;0700;;
180108;0800;;
180108;0900;;
180108;1000;;
180108;1100;;
180108;1200;;
180108;1300;;
180108;1400;;
180108;1500;;
180108;1600;;
180108;1700;;
180108;1800;;
180108;1900;;
180108;2000;61,3;
180108;2100;60,8;
180108;2200;60,4;
180108;2300;60,2;
180109;0000;60;
180109;0100;59,8;
180109;0200;59,8;
180109;0300;59,8;
180109;0400;59,9;
180109;0500;60;
180109;0600;60,1;
180109;0700;60,2;
180109;0800;60,4;
180109;0900;60,5;
180109;1000;60,7;
180109;1100;61;
180109;1200;61,3;
180109;1300;61,5;
180109;1400;61,6;
180109;1500;61,5;
180109;1600;61,3;
180109;1700;61,1;
180109;1800;60,8;
180109;1900;60,5;
180109;2000;60,3;
180109;2100;60;
180109;2200;59,7;
180109;2300;59,4;
180110;0000;59,2;
180110;0100;59,1;
180110;0200;59;
180110;0300;59,1;
180110;0400;59,2;
180110;0500;59,4;
180110;0600;59,6;
180110;0700;59,7;
180110;0800;59,9;
180110;0900;60,1;
180110;1000;60,1;
180110;1100;60,3;
180110;1200;60,3;
180110;1300;60,3;
180110;1400;60,4;
180110;1500;60,4;
180110;1600;60,3;
180110;1700;60,3;
180110;1800;60,2;
180110;1900;60,1;
180110;2000;59,8;
180110;2100;59,5;
180110;2200;59,1;
180110;2300;59;
180111;0000;58,7;
180111;0100;58,4;
180111;0200;58,2;
180111;0300;58;
180111;0400;57,9;
180111;0500;57,9;
180111;0600;58;
180111;0700;58;
180111;0800;58;
180111;0900;58,2;
180111;1000;58,4;
180111;1100;58,8;
180111;1200;59,3;
180111;1300;59,9;
180111;1400;60,5;
180111;1500;60,8;
180111;1600;61,1;
180111;1700;61,3;
180111;1800;61,5;
180111;1900;61,5;
180111;2000;61,5;
180111;2100;61,4;
180111;2200;61,2;
180111;2300;60,8;
180112;0000;60,4;
180112;0100;59,9;
180112;0200;59,2;
180112;0300;58,6;
180112;0400;58,1;
180112;0500;57,7;
180112;0600;57,4;
180112;0700;57;
180112;0800;56,7;
180112;0900;56,6;
180112;1000;56,6;
180112;1100;56,6;
180112;1200;56,8;
180112;1300;57,1;
180112;1400;57,3;
180112;1500;57,7;
180112;1600;58,3;
180112;1700;58,7;
180112;1800;59;
180112;1900;59,1;
180112;2000;59,1;
180112;2100;59;
180112;2200;58,8;
180112;2300;58,5;
180113;0000;58,1;
180113;0100;57,7;
180113;0200;57,3;
180113;0300;56,9;
180113;0400;56,7;
180113;0500;56,6;
180113;0600;56,6;
180113;0700;56,6;
180113;0800;56,7;
180113;0900;57;
180113;1000;57,5;
180113;1100;58;
180113;1200;58,6;
180113;1300;59,3;
180113;1400;60,1;
180113;1500;60,8;
180113;1600;61,4;
180113;1700;61,8;
180113;1800;62,2;
180113;1900;62,6;
180113;2000;62,9;
180113;2100;63;
180113;2200;;
180113;2300;;
180114;0000;;
180114;0100;;
180114;0200;;
180114;0300;;
180114;0400;;
180114;0500;;
180114;0600;;
180114;0700;;
180114;0800;;
180114;0900;;
180114;1000;;
180114;1100;;
180114;1200;;
180114;1300;;
180114;1400;;
180114;1500;;
180114;1600;63,2;
180114;1700;63,4;
180114;1800;63,5;
180114;1900;63,6;
180114;2000;63,6;
180114;2100;63,5;
180114;2200;63,4;
180114;2300;63,4;
180115;0000;63,4;
180115;0100;63,5;
180115;0200;63,6;
180115;0300;63,8;
180115;0400;63,9;
180115;0500;63,9;
180115;0600;64;
180115;0700;64,1;
180115;0800;64,2;
180115;0900;64,5;
180115;1000;64,6;
180115;1100;64,8;
180115;1200;64,9;
180115;1300;65;
180115;1400;65;
180115;1500;64,9;
180115;1600;64,6;
180115;1700;64,4;
180115;1800;64,7;
180115;1900;64,7;
180115;2000;64,8;
180115;2100;64,8;
180115;2200;64,8;
180115;2300;64,7;
180116;0000;64,6;
180116;0100;64,6;
180116;0200;64,5;
180116;0300;64,3;
180116;0400;64,1;
180116;0500;63,8;
180116;0600;63,5;
180116;0700;63,4;
180116;0800;63,2;
180116;0900;63,1;
180116;1000;62,8;
180116;1100;62,8;
180116;1200;62,7;
180116;1300;62,7;
180116;1400;62,7;
180116;1500;62,7;
180116;1600;62,7;
180116;1700;62,6;
180116;1800;62,6;
180116;1900;62,6;
180116;2000;62,6;
180116;2100;62,7;
180116;2200;62,7;
180116;2300;62,6;
180117;0000;62,6;
180117;0100;62,5;
180117;0200;62,5;
180117;0300;62,4;
180117;0400;62,2;
180117;0500;62,1;
180117;0600;61,9;
180117;0700;61,6;
180117;0800;61,5;
180117;0900;61,4;
180117;1000;61,5;
180117;1100;61,5;
180117;1200;61,6;
180117;1300;61,6;
180117;1400;61,6;
180117;1500;61,4;
180117;1600;61,3;
180117;1700;61,1;
180117;1800;60,9;
180117;1900;60,7;
180117;2000;60,5;
180117;2100;60,3;
180117;2200;60,2;
180117;2300;60,1;
180118;0000;59,9;
180118;0100;59,6;
180118;0200;59,4;
180118;0300;59,3;
180118;0400;59;
180118;0500;58,6;
180118;0600;58,8;
180118;0700;58,5;
180118;0800;58,2;
180118;0900;58,1;
180118;1000;57,9;
180118;1100;57,8;
180118;1200;57,7;
180118;1300;57,7;
180118;1400;57,6;
180118;1500;57,6;
180118;1600;57,7;
180118;1700;57,7;
180118;1800;57,6;
180118;1900;57,6;
180118;2000;57,5;
180118;2100;57,4;
180118;2200;57,4;
180118;2300;57,5;
180119;0000;57,6;
180119;0100;57,8;
180119;0200;58,1;
180119;0300;58,5;
180119;0400;58,8;
180119;0500;59,2;
180119;0600;59,4;
180119;0700;59,8;
180119;0800;60,1;
180119;0900;60,5;
180119;1000;60,7;
180119;1100;60,9;
180119;1200;61;
180119;1300;61,1;
180119;1400;61,2;
180119;1500;61,3;
180119;1600;61,4;
180119;1700;61,4;
180119;1800;61,5;
180119;1900;61,5;
180119;2000;61,5;
180119;2100;61,5;
180119;2200;61,5;
180119;2300;61,7;
180120;0000;61,5;
180120;0100;61,6;
180120;0200;61,4;
180120;0300;61,2;
180120;0400;61,3;
180120;0500;61,1;
180120;0600;60,9;
180120;0700;61,5;
180120;0800;61,7;
180120;0900;61,7;
180120;1000;61,6;
180120;1100;61,4;
180120;1200;61,3;
180120;1300;61,1;
180120;1400;61;
180120;1500;60,8;
180120;1600;60,7;
180120;1700;60,5;
180120;1800;60,3;
180120;1900;60,1;
180120;2000;59,8;
180120;2100;59,4;
180120;2200;59,1;
180120;2300;58,8;
180121;0000;58,6;
180121;0100;58,5;
180121;0200;58,3;
180121;0300;58,1;
180121;0400;57,9;
180121;0500;57,8;
180121;0600;57,9;
180121;0700;58,1;
180121;0800;58,3;
180121;0900;58,6;
180121;1000;58,9;
180121;1100;59;
180121;1200;59,2;
180121;1300;59,3;
180121;1400;59,4;
180121;1500;59,5;
180121;1600;59,6;
180121;1700;59,7;
180121;1800;59,7;
180121;1900;59,6;
180121;2000;59,5;
180121;2100;59,4;
180121;2200;59,3;
180121;2300;59,3;
180122;0000;59,1;
180122;0100;58,7;
180122;0200;58,4;
180122;0300;57,9;
180122;0400;57,5;
180122;0500;57,2;
180122;0600;56,9;
180122;0700;56,6;
180122;0800;56,4;
180122;0900;56,3;
180122;1000;56,3;
180122;1100;56,2;
180122;1200;56,2;
180122;1300;56,1;
180122;1400;56;
180122;1500;56;
180122;1600;56;
180122;1700;56;
180122;1800;56;
180122;1900;55,9;
180122;2000;55,8;
180122;2100;55,8;
180122;2200;55,8;
180122;2300;55,8;
180123;0000;55,8;
180123;0100;55,9;
180123;0200;56;
180123;0300;56,2;
180123;0400;56,4;
180123;0500;56,6;
180123;0600;56,6;
180123;0700;56,7;
180123;0800;56,9;
180123;0900;57,2;
180123;1000;57,7;
180123;1100;58,1;
180123;1200;58,6;
180123;1300;58,9;
180123;1400;59,2;
180123;1500;59,5;
180123;1600;59,8;
180123;1700;60,1;
180123;1800;60,5;
180123;1900;60,8;
180123;2000;61,2;
180123;2100;61,5;
180123;2200;61,8;
180123;2300;62,2;
180124;0000;62,7;
180124;0100;63,2;
180124;0200;63,7;
180124;0300;64,1;
180124;0400;64,4;
180124;0500;64,7;
180124;0600;65,3;
180124;0700;65,1;
180124;0800;65,9;
180124;0900;66,5;
180124;1000;66,7;
180124;1100;66,9;
180124;1200;66,9;
180124;1300;67;
180124;1400;67,1;
180124;1500;67,2;
180124;1600;67,2;
180124;1700;67,3;
180124;1800;67,3;
180124;1900;67,4;
180124;2000;67,4;
180124;2100;67,3;
180124;2200;67,3;
180124;2300;67,5;
180125;0000;67,8;
180125;0100;68,2;
180125;0200;68,3;
180125;0300;68,5;
180125;0400;68,6;
180125;0500;69,2;
180125;0600;69,4;
180125;0700;69,5;
180125;0800;69,8;
180125;0900;70,1;
180125;1000;70,2;
180125;1100;70,3;
180125;1200;70,3;
180125;1300;70,2;
180125;1400;70,1;
180125;1500;70,1;
180125;1600;70;
180125;1700;69,9;
180125;1800;69,7;
180125;1900;69,5;
180125;2000;69,1;
180125;2100;68,7;
180125;2200;68,4;
180125;2300;68,2;
180126;0000;67,9;
180126;0100;67,7;
180126;0200;67,5;
180126;0300;67,2;
180126;0400;67;
180126;0500;66,7;
180126;0600;66,5;
180126;0700;66,3;
180126;0800;66,1;
180126;0900;65,9;
180126;1000;65,6;
180126;1100;65,2;
180126;1200;64,9;
180126;1300;64,7;
180126;1400;64,7;
180126;1500;64,6;
180126;1600;64,6;
180126;1700;64,5;
180126;1800;64,5;
180126;1900;64,4;
180126;2000;64,4;
180126;2100;64,4;
180126;2200;64,4;
180126;2300;64,3;
180127;0000;64,1;
180127;0100;63,9;
180127;0200;63,8;
180127;0300;63,7;
180127;0400;63,6;
180127;0500;63,5;
180127;0600;63,4;
180127;0700;63;
180127;0800;62,6;
180127;0900;62,4;
180127;1000;62,3;
180127;1100;62,3;
180127;1200;62,2;
180127;1300;62,1;
180127;1400;61,8;
180127;1500;61,7;
180127;1600;61,4;
180127;1700;61,4;
180127;1800;61,3;
180127;1900;61,1;
180127;2000;60,9;
180127;2100;60,6;
180127;2200;60,1;
180127;2300;59,7;
180128;0000;59,2;
180128;0100;58,8;
180128;0200;58,5;
180128;0300;58,3;
180128;0400;58,2;
180128;0500;58;
180128;0600;57,9;
180128;0700;57,7;
180128;0800;57,7;
180128;0900;57,6;
180128;1000;57,5;
180128;1100;57,6;
180128;1200;57,9;
180128;1300;57,5;
180128;1400;57,4;
180128;1500;57,4;
180128;1600;56,9;
180128;1700;57,2;
180128;1800;57;
180128;1900;56,9;
180128;2000;56,6;
180128;2100;56,3;
180128;2200;56;
180128;2300;55,7;
180129;0000;55,5;
180129;0100;55,4;
180129;0200;55,3;
180129;0300;55,1;
180129;0400;55;
180129;0500;54,8;
180129;0600;54,7;
180129;0700;54,6;
180129;0800;54,6;
180129;0900;54,5;
180129;1000;54,5;
180129;1100;54,6;
180129;1200;54,6;
180129;1300;54,6;
180129;1400;54,4;
180129;1500;54,5;
180129;1600;54,2;
180129;1700;53,9;
180129;1800;53,7;
180129;1900;53,4;
180129;2000;53,1;
180129;2100;52,8;
180129;2200;52,5;
180129;2300;52,2;
180130;0000;52;
180130;0100;51,8;
180130;0200;51,6;
180130;0300;51,4;
180130;0400;51,3;
180130;0500;51,1;
180130;0600;51;
180130;0700;50,9;
180130;0800;51;
180130;0900;51,1;
180130;1000;51,2;
180130;1100;51,4;
180130;1200;51,7;
180130;1300;52;
180130;1400;52,2;
180130;1500;52,5;
180130;1600;52,7;
180130;1700;53,1;
180130;1800;53,3;
180130;1900;53,5;
180130;2000;53,7;
180130;2100;54;
180130;2200;54,3;
180130;2300;54,7;
180131;0000;55;
180131;0100;55,3;
180131;0200;55,5;
180131;0300;55,7;
180131;0400;55,8;
180131;0500;55,9;
180131;0600;56,1;
180131;0700;56,2;
180131;0800;56,3;
180131;0900;56,5;
180131;1000;56,7;
180131;1100;57;
180131;1200;57,2;
180131;1300;57,3;
180131;1400;57,6;
180131;1500;57,8;
180131;1600;58;
180131;1700;58,1;
180131;1800;58,4;
180131;1900;58,9;
180131;2000;59,2;
180131;2100;59,5;
180131;2200;59,9;
180131;2300;60,3;
180201;0000;60,6;
180201;0100;60,9;
180201;0200;61,1;
180201;0300;61,3;
180201;0400;61,6;
180201;0500;61,7;
180201;0600;61,9;
180201;0700;62,3;
180201;0800;62,3;
180201;0900;62,8;
180201;1000;63;
180201;1100;63,2;
180201;1200;63,4;
180201;1300;63,5;
180201;1400;63,5;
180201;1500;63,6;
180201;1600;63,6;
180201;1700;63,6;
180201;1800;63,6;
180201;1900;63,7;
180201;2000;63,7;
180201;2100;63,7;
180201;2200;63,8;
180201;2300;63,9;
180202;0000;64;
180202;0100;64,1;
180202;0200;64,1;
180202;0300;64,2;
180202;0400;64,1;
180202;0500;64;
180202;0600;64;
180202;0700;63,9;
180202;0800;63,9;
180202;0900;63,7;
180202;1000;63,6;
180202;1100;63,5;
180202;1200;63,3;
180202;1300;63,1;
180202;1400;62,7;
180202;1500;62,4;
180202;1600;62,1;
180202;1700;61,8;
180202;1800;61,5;
180202;1900;60,9;
180202;2000;60,9;
180202;2100;60,9;
180202;2200;61;
180202;2300;61,1;
180203;0000;61,2;
180203;0100;61,4;
180203;0200;61,6;
180203;0300;61,7;
180203;0400;61,7;
180203;0500;61,8;
180203;0600;61,9;
180203;0700;61,7;
180203;0800;62;
180203;0900;62,2;
180203;1000;62,4;
180203;1100;62,9;
180203;1200;63,4;
180203;1300;63,7;
180203;1400;63,9;
180203;1500;64;
180203;1600;64,2;
180203;1700;64,3;
180203;1800;64,5;
180203;1900;64,8;
180203;2000;65;
180203;2100;65,1;
180203;2200;65,1;
180203;2300;65,1;
180204;0000;65,1;
180204;0100;65,2;
180204;0200;65,3;
180204;0300;65,5;
180204;0400;65,7;
180204;0500;65,9;
180204;0600;66;
180204;0700;66,2;
180204;0800;66,5;
180204;0900;67,5;
180204;1000;68;
180204;1100;68;
180204;1200;68,1;
180204;1300;68,1;
180204;1400;68,3;
180204;1500;68,5;
180204;1600;68,8;
180204;1700;69;
180204;1800;69,3;
180204;1900;69,5;
180204;2000;69,5;
180204;2100;69,5;
180204;2200;69,6;
180204;2300;69,6;
180205;0000;69,7;
180205;0100;69,8;
180205;0200;70;
180205;0300;70,3;
180205;0400;70,5;
180205;0500;70,8;
180205;0600;71,1;
180205;0700;71,3;
180205;0800;71,6;
180205;0900;71,8;
180205;1000;71,9;
180205;1100;72,2;
180205;1200;72,3;
180205;1300;72,6;
180205;1400;72,7;
180205;1500;73,2;
180205;1600;73,3;
180205;1700;73,5;
180205;1800;73,8;
180205;1900;74;
180205;2000;74,2;
180205;2100;74,1;
180205;2200;74,1;
180205;2300;73,9;
180206;0000;73,9;
180206;0100;73,9;
180206;0200;74;
180206;0300;74;
180206;0400;74,1;
180206;0500;74,2;
180206;0600;74,3;
180206;0700;74,5;
180206;0800;74,7;
180206;0900;74,9;
180206;1000;74,9;
180206;1100;74,7;
180206;1200;74,5;
180206;1300;74,6;
180206;1400;74,7;
180206;1500;74,9;
180206;1600;74,9;
180206;1700;75,2;
180206;1800;75,4;
180206;1900;74,6;
180206;2000;74,4;
180206;2100;74,4;
180206;2200;74,4;
180206;2300;74,3;
180207;0000;74,3;
180207;0100;74,1;
180207;0200;74;
180207;0300;73,9;
180207;0400;73,7;
180207;0500;73,6;
180207;0600;73,4;
180207;0700;73,4;
180207;0800;72,6;
180207;0900;72,2;
180207;1000;72,2;
180207;1100;72;
180207;1200;72,1;
180207;1300;72;
180207;1400;71,9;
180207;1500;71,9;
180207;1600;71,6;
180207;1700;71,3;
180207;1800;70,9;
180207;1900;70,6;
180207;2000;70;
180207;2100;70;
180207;2200;69,7;
180207;2300;69,4;
180208;0000;69;
180208;0100;68,6;
180208;0200;68,2;
