FECHA (YYMMDD);HORA (HHMM);
180101;0;5
180102;0;5
180103;0;5
180104;0;7
180105;0;8
180106;0;7
180107;0;5
180108;0;NA
180109;0;5
180110;0;6
180111;0;6
180112;0;6
180113;0;7
180114;0;NA
180115;0;3
180116;0;3
180117;0;3
180118;0;2
180119;0;2
180120;0;2
180121;0;4
180122;0;7
180123;0;4
180124;0;6
180125;0;6
180126;0;5
180127;0;6
180128;0;4
180129;0;3
180130;0;3
180131;0;5
180201;0;4
180202;0;3
180203;0;3
180204;0;3
180205;0;3
180206;0;3
180207;0;3
180208;0;3
180209;0;3
180210;0;4
180211;0;4
180212;0;4
180213;0;7
180214;0;7
180215;0;5
180216;0;6
180217;0;5
180218;0;6
180219;0;9
180220;0;9
180221;0;11
180222;0;13
180223;0;8
180224;0;7
180225;0;6
180226;0;5
180227;0;6
180228;0;6
180301;0;6
180302;0;7
180303;0;6
180304;0;6
180305;0;5
180306;0;6
180307;0;6
180308;0;6
180309;0;19
180310;0;10
180311;0;12
180312;0;12
180313;0;12
180314;0;10
180315;0;15
180316;0;22
180317;0;17
180318;0;25
180319;0;24
180320;0;17
180321;0;4
180322;0;4
180323;0;18
180324;0;23
180325;0;11
180326;0;22
180327;0;19
180328;0;24
180329;0;22
180330;0;21
180331;0;6
180401;0;8
180402;0;18
180403;0;19
180404;0;21
180405;0;33
180406;0;42
180407;0;70
180408;0;NA
180409;0;17
180410;0;20
180411;0;60
180412;0;41
180413;0;105
180414;0;66
180415;0;49
180416;0;65
180417;0;68
180418;0;51
180419;0;24
180420;0;51
180421;0;20
180422;0;33
180423;0;37
180424;0;81
180425;0;47
180426;0;24
180427;0;97
180428;0;37
180429;0;15
180430;0;63
180501;0;61
180502;0;27
180503;0;84
180504;0;33
180505;0;40
180506;0;78
180507;0;86
180508;0;34
180509;0;79
180510;0;53
180511;0;55
180512;0;43
180513;0;12
180514;0;50
180515;0;96
180516;0;62
180517;0;42
180518;0;135
180519;0;38
180520;0;84
180521;0;134
180522;0;109
180523;0;88
180524;0;132
180525;0;66
180526;0;146
180527;0;81
180528;0;33
180529;0;102
180530;0;82
180531;0;25
180601;0;36
180602;0;150
180603;0;258
180604;0;199
180605;0;95
180606;0;132
180607;0;54
180608;0;108
180609;0;92
180610;0;88
180611;0;31
180612;0;81
180613;0;37
180614;0;49
180615;0;99
180616;0;131
180617;0;66
180618;0;36
180619;0;58
180620;0;33
