FECHA (YYMMDD);HORA (HHMM);;
180101;0100;0,6;
180101;0200;0;
180101;0300;0;
180101;0400;0;
180101;0500;0;
180101;0600;0,2;
180101;0700;0,9;
180101;0800;1,9;
180101;0900;1,5;
180101;1000;1,2;
180101;1100;1,4;
180101;1200;2,2;
180101;1300;2,9;
180101;1400;2,7;
180101;1500;2,8;
180101;1600;2,8;
180101;1700;1,8;
180101;1800;1,9;
180101;1900;0,9;
180101;2000;1;
180101;2100;0,4;
180101;2200;0,6;
180101;2300;0,2;
180102;0000;0,6;
180102;0100;0,7;
180102;0200;0,7;
180102;0300;1,2;
180102;0400;1,6;
180102;0500;1,4;
180102;0600;1,4;
180102;0700;1,6;
180102;0800;1,4;
180102;0900;0,4;
180102;1000;2,6;
180102;1100;2,1;
180102;1200;1,5;
180102;1300;1,9;
180102;1400;2,4;
180102;1500;1,8;
180102;1600;1,4;
180102;1700;1,8;
180102;1800;1,6;
180102;1900;1;
180102;2000;1,3;
180102;2100;0,7;
180102;2200;0,4;
180102;2300;0,1;
180103;0000;0,6;
180103;0100;0,8;
180103;0200;1,3;
180103;0300;0,7;
180103;0400;0,6;
180103;0500;1,3;
180103;0600;1,6;
180103;0700;1,9;
180103;0800;2,1;
180103;0900;2,3;
180103;1000;3,4;
180103;1100;3;
180103;1200;2,4;
180103;1300;2,7;
180103;1400;3;
180103;1500;3,2;
180103;1600;3;
180103;1700;2,9;
180103;1800;2,5;
180103;1900;2,1;
180103;2000;1,1;
180103;2100;0,6;
180103;2200;0,2;
180103;2300;0,1;
180104;0000;0,3;
180104;0100;0,3;
180104;0200;0,4;
180104;0300;0,1;
180104;0400;0,1;
180104;0500;0,1;
180104;0600;0,3;
180104;0700;0,2;
180104;0800;0,8;
180104;0900;1,7;
180104;1000;2,1;
180104;1100;2,3;
180104;1200;2,9;
180104;1300;2,7;
180104;1400;3,1;
180104;1500;3;
180104;1600;3,3;
180104;1700;2,5;
180104;1800;1,8;
180104;1900;1,6;
180104;2000;1,2;
180104;2100;1,6;
180104;2200;0,4;
180104;2300;0,8;
180105;0000;1;
180105;0100;0,4;
180105;0200;0;
180105;0300;0,1;
180105;0400;0;
180105;0500;0,1;
180105;0600;0;
180105;0700;0,3;
180105;0800;0,9;
180105;0900;1,1;
180105;1000;1,7;
180105;1100;1,8;
180105;1200;1,8;
180105;1300;2,7;
180105;1400;2,6;
180105;1500;2,5;
180105;1600;2,4;
180105;1700;2,4;
180105;1800;1,6;
180105;1900;1,4;
180105;2000;0,6;
180105;2100;0,2;
180105;2200;0;
180105;2300;0;
180106;0000;0;
180106;0100;0,1;
180106;0200;0,2;
180106;0300;0;
180106;0400;0,2;
180106;0500;0,1;
180106;0600;0;
180106;0700;0,3;
180106;0800;0,1;
180106;0900;0,7;
180106;1000;1,2;
180106;1100;1,1;
180106;1200;1,3;
180106;1300;1,9;
180106;1400;2,4;
180106;1500;1,8;
180106;1600;1,9;
180106;1700;1,7;
180106;1800;1,7;
180106;1900;1,1;
180106;2000;0,9;
180106;2100;0,6;
180106;2200;0,1;
180106;2300;0,3;
180107;0000;0,4;
180107;0100;0,2;
180107;0200;0,1;
180107;0300;0;
180107;0400;0;
180107;0500;0,2;
180107;0600;0,2;
180107;0700;0,1;
180107;0800;0,4;
180107;0900;1,3;
180107;1000;1,1;
180107;1100;0,8;
180107;1200;1,1;
180107;1300;2,6;
180107;1400;2,3;
180107;1500;2,5;
180107;1600;2,2;
180107;1700;2,1;
180107;1800;0,7;
180107;1900;1;
180107;2000;0,7;
180107;2100;0,6;
180107;2200;0,6;
180107;2300;0,6;
180108;0000;0,6;
180108;0100;1,2;
180108;0200;1;
180108;0300;0,2;
180108;0400;0,1;
180108;0500;0;
180108;0600;0,8;
180108;0700;;
180108;0800;;
180108;0900;;
180108;1000;;
180108;1100;;
180108;1200;;
180108;1300;;
180108;1400;;
180108;1500;;
180108;1600;;
180108;1700;;
180108;1800;;
180108;1900;;
180108;2000;1,3;
180108;2100;0,9;
180108;2200;0,6;
180108;2300;0,5;
180109;0000;0,6;
180109;0100;0,5;
180109;0200;0,1;
180109;0300;0,2;
180109;0400;0,1;
180109;0500;0,1;
180109;0600;0,2;
180109;0700;0,5;
180109;0800;0,7;
180109;0900;0,7;
180109;1000;0,8;
180109;1100;1;
180109;1200;1,7;
180109;1300;2,3;
180109;1400;2,2;
180109;1500;2,1;
180109;1600;2;
180109;1700;1,7;
180109;1800;1,1;
180109;1900;1,2;
180109;2000;0,7;
180109;2100;0,2;
180109;2200;0,7;
180109;2300;1,4;
180110;0000;1,9;
180110;0100;1,4;
180110;0200;1,3;
180110;0300;1,3;
180110;0400;1,2;
180110;0500;0,8;
180110;0600;1,1;
180110;0700;2,2;
180110;0800;2,2;
180110;0900;2,1;
180110;1000;2;
180110;1100;2,3;
180110;1200;2,3;
180110;1300;2,3;
180110;1400;2,2;
180110;1500;1,8;
180110;1600;1,5;
180110;1700;1,5;
180110;1800;1,8;
180110;1900;1;
180110;2000;0,7;
180110;2100;1,1;
180110;2200;1,2;
180110;2300;1;
180111;0000;0,5;
180111;0100;0,5;
180111;0200;0,5;
180111;0300;0;
180111;0400;0,8;
180111;0500;0,9;
180111;0600;1,1;
180111;0700;1,6;
180111;0800;1,4;
180111;0900;1,5;
180111;1000;1,8;
180111;1100;1,7;
180111;1200;1,5;
180111;1300;1,6;
180111;1400;2,6;
180111;1500;2,7;
180111;1600;2,3;
180111;1700;2,4;
180111;1800;1,6;
180111;1900;1,1;
180111;2000;0,2;
180111;2100;0;
180111;2200;0,5;
180111;2300;0,6;
180112;0000;0,2;
180112;0100;0;
180112;0200;0;
180112;0300;0;
180112;0400;0,2;
180112;0500;0,1;
180112;0600;0,2;
180112;0700;0,2;
180112;0800;0,3;
180112;0900;0,5;
180112;1000;1,7;
180112;1100;2,4;
180112;1200;2,5;
180112;1300;2,8;
180112;1400;2,4;
180112;1500;2,6;
180112;1600;2,5;
180112;1700;2,4;
180112;1800;1,9;
180112;1900;1,9;
180112;2000;1,3;
180112;2100;1,1;
180112;2200;1,1;
180112;2300;0,7;
180113;0000;1;
180113;0100;0,2;
180113;0200;0,3;
180113;0300;0,6;
180113;0400;1,6;
180113;0500;2,2;
180113;0600;2,2;
180113;0700;3,3;
180113;0800;3,4;
180113;0900;3,5;
180113;1000;3,2;
180113;1100;2,8;
180113;1200;3,1;
180113;1300;3,4;
180113;1400;3,1;
180113;1500;3,1;
180113;1600;2,9;
180113;1700;3,1;
180113;1800;2,9;
180113;1900;2,2;
180113;2000;1,9;
180113;2100;1,5;
180113;2200;;
180113;2300;;
180114;0000;;
180114;0100;;
180114;0200;;
180114;0300;;
180114;0400;;
180114;0500;;
180114;0600;;
180114;0700;;
180114;0800;;
180114;0900;;
180114;1000;;
180114;1100;;
180114;1200;;
180114;1300;;
180114;1400;;
180114;1500;;
180114;1600;2,4;
180114;1700;1,7;
180114;1800;1,7;
180114;1900;0,8;
180114;2000;0,1;
180114;2100;0,1;
180114;2200;0;
180114;2300;0,5;
180115;0000;0,5;
180115;0100;1,3;
180115;0200;1,4;
180115;0300;0,7;
180115;0400;0,3;
180115;0500;0,1;
180115;0600;0,2;
180115;0700;1,4;
180115;0800;2,4;
180115;0900;1,5;
180115;1000;1,3;
180115;1100;1,1;
180115;1200;0,9;
180115;1300;2,7;
180115;1400;2,6;
180115;1500;2,4;
180115;1600;2,3;
180115;1700;2;
180115;1800;1,5;
180115;1900;0,9;
180115;2000;0,4;
180115;2100;0,4;
180115;2200;0,3;
180115;2300;0,8;
180116;0000;1,1;
180116;0100;1;
180116;0200;0,5;
180116;0300;0;
180116;0400;0;
180116;0500;0,2;
180116;0600;0,9;
180116;0700;1,7;
180116;0800;1,6;
180116;0900;1,8;
180116;1000;2,2;
180116;1100;1,4;
180116;1200;1,5;
180116;1300;2,2;
180116;1400;2,5;
180116;1500;2,7;
180116;1600;2,3;
180116;1700;2,5;
180116;1800;1,8;
180116;1900;1,3;
180116;2000;0,4;
180116;2100;0,2;
180116;2200;0;
180116;2300;0,1;
180117;0000;0,3;
180117;0100;0,1;
180117;0200;0;
180117;0300;0;
180117;0400;0;
180117;0500;0;
180117;0600;0,1;
180117;0700;0,1;
180117;0800;0;
180117;0900;0,3;
180117;1000;0,9;
180117;1100;1,2;
180117;1200;2,2;
180117;1300;2,4;
180117;1400;2,2;
180117;1500;1,7;
180117;1600;1,8;
180117;1700;1,4;
180117;1800;0,9;
180117;1900;0,9;
180117;2000;0,4;
180117;2100;0,3;
180117;2200;0,3;
180117;2300;0,3;
180118;0000;0,3;
180118;0100;0,4;
180118;0200;0,4;
180118;0300;0,3;
180118;0400;0;
180118;0500;0,2;
180118;0600;1;
180118;0700;1,3;
180118;0800;2,1;
180118;0900;2,6;
180118;1000;2,8;
180118;1100;2,4;
180118;1200;2,5;
180118;1300;2,4;
180118;1400;2,6;
180118;1500;3;
180118;1600;2,4;
180118;1700;1,8;
180118;1800;1,3;
180118;1900;0,8;
180118;2000;0,8;
180118;2100;0,5;
180118;2200;0,6;
180118;2300;0,2;
180119;0000;0,3;
180119;0100;0,5;
180119;0200;1,5;
180119;0300;2;
180119;0400;1,4;
180119;0500;1,5;
180119;0600;1,8;
180119;0700;2,5;
180119;0800;2,6;
180119;0900;2,4;
180119;1000;2,8;
180119;1100;3,1;
180119;1200;2,8;
180119;1300;3,1;
180119;1400;3,1;
180119;1500;2,8;
180119;1600;3;
180119;1700;3,2;
180119;1800;3;
180119;1900;2,3;
180119;2000;1,5;
180119;2100;1,4;
180119;2200;1,6;
180119;2300;1,1;
180120;0000;1,3;
180120;0100;1,2;
180120;0200;1;
180120;0300;1,6;
180120;0400;2,1;
180120;0500;2,6;
180120;0600;2,6;
180120;0700;2,5;
180120;0800;2,5;
180120;0900;2,8;
180120;1000;3,1;
180120;1100;2,7;
180120;1200;2,8;
180120;1300;3;
180120;1400;2,8;
180120;1500;2,5;
180120;1600;2,7;
180120;1700;1,9;
180120;1800;1,8;
180120;1900;1,7;
180120;2000;1,9;
180120;2100;1,5;
180120;2200;0,8;
180120;2300;0,9;
180121;0000;0,5;
180121;0100;0;
180121;0200;0;
180121;0300;0,4;
180121;0400;0,8;
180121;0500;0,4;
180121;0600;1,1;
180121;0700;1,1;
180121;0800;1,6;
180121;0900;1,5;
180121;1000;1,7;
180121;1100;1,7;
180121;1200;1,6;
180121;1300;1,6;
180121;1400;2,2;
180121;1500;3;
180121;1600;2,7;
180121;1700;2,3;
180121;1800;1,4;
180121;1900;1,6;
180121;2000;1,3;
180121;2100;0,6;
180121;2200;0,5;
180121;2300;0;
180122;0000;0,3;
180122;0100;0,2;
180122;0200;0;
180122;0300;0,5;
180122;0400;0;
180122;0500;0,1;
180122;0600;0,3;
180122;0700;0,4;
180122;0800;0,8;
180122;0900;1;
180122;1000;1,2;
180122;1100;1,5;
180122;1200;2,1;
180122;1300;2,6;
180122;1400;2,8;
180122;1500;2,7;
180122;1600;2,3;
180122;1700;1,9;
180122;1800;1,3;
180122;1900;0,6;
180122;2000;0,6;
180122;2100;0;
180122;2200;0;
180122;2300;0;
180123;0000;0,6;
180123;0100;0,8;
180123;0200;0,3;
180123;0300;0,5;
180123;0400;0,1;
180123;0500;0;
180123;0600;0,2;
180123;0700;1,5;
180123;0800;2,3;
180123;0900;2,7;
180123;1000;2,3;
180123;1100;2,5;
180123;1200;2;
180123;1300;2,2;
180123;1400;2,3;
180123;1500;1,9;
180123;1600;2,1;
180123;1700;2,3;
180123;1800;2,4;
180123;1900;2,3;
180123;2000;1,8;
180123;2100;1,6;
180123;2200;1,7;
180123;2300;2;
180124;0000;1,7;
180124;0100;1,8;
180124;0200;1,5;
180124;0300;1,3;
180124;0400;1,5;
180124;0500;1,8;
180124;0600;1,8;
180124;0700;2,3;
180124;0800;2,5;
180124;0900;2,8;
180124;1000;2,2;
180124;1100;1,7;
180124;1200;1,8;
180124;1300;1,5;
180124;1400;1,3;
180124;1500;2,2;
180124;1600;2,6;
180124;1700;2,4;
180124;1800;1,7;
180124;1900;1,1;
180124;2000;0,4;
180124;2100;0,6;
180124;2200;1,4;
180124;2300;1,6;
180125;0000;1,5;
180125;0100;0,8;
180125;0200;0,8;
180125;0300;0,9;
180125;0400;0,7;
180125;0500;1;
180125;0600;0,5;
180125;0700;1,5;
180125;0800;1,9;
180125;0900;1,9;
180125;1000;1,4;
180125;1100;1;
180125;1200;1;
180125;1300;2,4;
180125;1400;2,6;
180125;1500;2,8;
180125;1600;2,4;
180125;1700;2;
180125;1800;1,9;
180125;1900;1,6;
180125;2000;2,1;
180125;2100;2,2;
180125;2200;1,9;
180125;2300;1,2;
180126;0000;1,3;
180126;0100;0,2;
180126;0200;0;
180126;0300;0;
180126;0400;0;
180126;0500;0;
180126;0600;0,4;
180126;0700;0,2;
180126;0800;1,7;
180126;0900;1,5;
180126;1000;0,9;
180126;1100;0,7;
180126;1200;1,5;
180126;1300;2,3;
180126;1400;2,8;
180126;1500;3;
180126;1600;2,8;
180126;1700;2,6;
180126;1800;1,9;
180126;1900;0,9;
180126;2000;0,9;
180126;2100;0,4;
180126;2200;0,1;
180126;2300;0,1;
180127;0000;0;
180127;0100;0;
180127;0200;0;
180127;0300;0;
180127;0400;0;
180127;0500;0,1;
180127;0600;0,3;
180127;0700;0,2;
180127;0800;0,2;
180127;0900;1;
180127;1000;0,9;
180127;1100;1,7;
180127;1200;1,5;
180127;1300;1,9;
180127;1400;2,1;
180127;1500;2,2;
